Source,Target,Weight,Type
RICR , AVKR          ,1,chemical
RICR , AVAL          ,15,chemical
RICR , AVAR          ,13,chemical
RICR , RIML          ,10,chemical
RICR , RIMR          ,1,chemical
RICR , RIVL          ,1,chemical
RICR , SMBDR         ,3,chemical
RICR , SMDDL         ,9,chemical
RICR , SMDDR         ,9,chemical
RICR , SMDVL         ,6,chemical
RICR , SMDVR         ,3,chemical
RICR , VB01          ,7,chemical
RIFL , ALML          ,5,chemical
RIFL , AVHR          ,1,chemical
RIFL , AVJR          ,8,chemical
RIFL , PVPL          ,8,chemical
RIFL , AVBL          ,26,chemical
RIFL , AVBR          ,1,chemical
RIFL , RIML          ,7,chemical
RIFL , dBWML5        ,2,chemical
RIFR , ADLR          ,1,chemical
RIFR , ASHR          ,6,chemical
RIFR , AWBR          ,2,chemical
RIFR , CEPVR         ,2,chemical
RIFR , URXR          ,3,chemical
RIFR , AIZL          ,1,chemical
RIFR , RIAR          ,1,chemical
RIFR , RIFL          ,1,chemical
RIFR , RIPR          ,2,chemical
RIFR , AVFL          ,1,chemical
RIFR , AVJL          ,2,chemical
RIFR , AVJR          ,2,chemical
RIFR , PVPR          ,6,chemical
RIFR , PVCL          ,1,chemical
RIFR , PVCR          ,1,chemical
RIFR , AVBL          ,1,chemical
RIFR , AVBR          ,35,chemical
RIFR , RIMR          ,10,chemical
RIFR , HSNL          ,2,chemical
RIFR , HSNR          ,3,chemical
RIGL , ADFL          ,1,chemical
RIGL , ADLL          ,2,chemical
RIGL , OLQVL         ,2,chemical
RIGL , ALNL          ,6,chemical
RIGL , BAGR          ,3,chemical
RIGL , URXL          ,6,chemical
RIGL , AIBR          ,4,chemical
RIGL , AIZL          ,10,chemical
RIGL , AIZR          ,2,chemical
RIGL , RIBL          ,3,chemical
RIGL , RIH           ,2,chemical
RIGL , RIR           ,8,chemical
RIGL , RMGL          ,6,chemical
RIGL , AVKR          ,17,chemical
RIGL , DVA           ,1,chemical
RIGL , PVPL          ,2,chemical
RIGL , AVEL          ,7,chemical
RIGL , AVER          ,1,chemical
RIGL , RMHR          ,23,chemical
RIGR , AFDR          ,1,chemical
RIGR , OLQVR         ,2,chemical
RIGR , ALNR          ,3,chemical
RIGR , BAGL          ,2,chemical
RIGR , URXR          ,3,chemical
RIGR , URYVR         ,2,chemical
RIGR , AIBL          ,2,chemical
RIGR , AIZR          ,5,chemical
RIGR , RIAR          ,3,chemical
RIGR , RIBR          ,2,chemical
RIGR , RIR           ,5,chemical
RIGR , AVKL          ,21,chemical
RIGR , AVKR          ,5,chemical
RIGR , DVA           ,4,chemical
RIGR , DVC           ,2,chemical
RIGR , PVT           ,5,chemical
RIGR , AVDL          ,1,chemical
RIGR , AVER          ,4,chemical
RIGR , RMHL          ,17,chemical
RIH , ADFR          ,3,chemical
RIH , IL2L          ,2,chemical
RIH , IL2R          ,3,chemical
RIH , IL2VL         ,4,chemical
RIH , IL2VR         ,5,chemical
RIH , OLQDL         ,11,chemical
RIH , OLQDR         ,7,chemical
RIH , OLQVL         ,13,chemical
RIH , OLQVR         ,7,chemical
RIH , CEPDL         ,6,chemical
RIH , CEPVL         ,3,chemical
RIH , CEPVR         ,6,chemical
RIH , BAGL          ,2,chemical
RIH , BAGR          ,5,chemical
RIH , URYVR         ,4,chemical
RIH , AUAR          ,2,chemical
RIH , AIYL          ,3,chemical
RIH , AIYR          ,4,chemical
RIH , AIZL          ,12,chemical
RIH , AIZR          ,19,chemical
RIH , RIAL          ,34,chemical
RIH , RIAR          ,36,chemical
RIH , RIBL          ,18,chemical
RIH , RIBR          ,15,chemical
RIH , RIPL          ,18,chemical
RIH , RIPR          ,7,chemical
RIH , RMER          ,6,chemical
RIH , RMEV          ,10,chemical
RIH , URAVR         ,1,chemical
RIR , ADFL          ,1,chemical
RIR , ADFR          ,4,chemical
RIR , ASHL          ,1,chemical
RIR , ASHR          ,1,chemical
RIR , AWBR          ,1,chemical
RIR , AFDR          ,1,chemical
RIR , BAGR          ,1,chemical
RIR , URXL          ,9,chemical
RIR , URXR          ,6,chemical
RIR , AQR           ,2,chemical
RIR , AUAL          ,7,chemical
RIR , AIZL          ,12,chemical
RIR , AIZR          ,15,chemical
RIR , ADAR          ,1,chemical
RIR , AIMR          ,1,chemical
RIR , RIAL          ,11,chemical
RIR , RIAR          ,4,chemical
RIR , RIGL          ,2,chemical
RIR , RIGR          ,4,chemical
RIR , RMGL          ,1,chemical
RIR , RMGR          ,1,chemical
RIR , DVA           ,9,chemical
RIR , PVPL          ,2,chemical
RIR , PVPR          ,1,chemical
RIR , AVEL          ,4,chemical
RIR , HSNL          ,1,chemical
RIS , OLLR          ,5,chemical
RIS , CEPDL         ,4,chemical
RIS , CEPVL         ,7,chemical
RIS , CEPVR         ,4,chemical
RIS , URYDR         ,1,chemical
RIS , URYVL         ,1,chemical
RIS , URYVR         ,5,chemical
RIS , RIBL          ,8,chemical
RIS , RIBR          ,18,chemical
RIS , RIS           ,3,chemical
RIS , AVKL          ,6,chemical
RIS , AVKR          ,13,chemical
RIS , AVL           ,9,chemical
RIS , AVEL          ,17,chemical
RIS , AVER          ,18,chemical
RIS , RIML          ,10,chemical
RIS , RIMR          ,15,chemical
RIS , RMDDL         ,1,chemical
RIS , RMDDR         ,1,chemical
RIS , RMDL          ,10,chemical
RIS , RMDR          ,16,chemical
RIS , RMEV          ,3,chemical
RIS , SMDDL         ,1,chemical
RIS , SMDDR         ,6,chemical
RIS , SMDVL         ,1,chemical
RIS , SMDVR         ,1,chemical
RMFL , BAGL          ,1,chemical
RMFL , RIBR          ,1,chemical
RMFL , RIS           ,1,chemical
RMFL , AVKL          ,9,chemical
RMFL , AVKR          ,14,chemical
RMFL , DVC           ,1,chemical
RMFL , PVT           ,3,chemical
RMFL , RIMR          ,2,chemical
RMFL , RMDR          ,13,chemical
RMFL , RMHL          ,2,chemical
RMFL , SAAVR         ,1,chemical
RMFL , SMDVL         ,1,chemical
RMFR , RIH           ,1,chemical
RMFR , AVKL          ,7,chemical
RMFR , AVKR          ,9,chemical
RMFR , DVC           ,2,chemical
RMFR , RMDL          ,6,chemical
RMFR , RMDR          ,1,chemical
RMGL , ADLL          ,1,chemical
RMGL , ASHL          ,1,chemical
RMGL , CEPDL         ,1,chemical
RMGL , URXL          ,3,chemical
RMGL , AIBR          ,2,chemical
RMGL , ADAL          ,4,chemical
RMGL , AIML          ,3,chemical
RMGL , RIFL          ,1,chemical
RMGL , AVFR          ,1,chemical
RMGL , PVPL          ,1,chemical
RMGL , RID           ,2,chemical
RMGL , AVAL          ,3,chemical
RMGL , AVBR          ,3,chemical
RMGL , AVEL          ,2,chemical
RMGL , RMDDR         ,1,chemical
RMGL , RMDL          ,2,chemical
RMGL , RMDR          ,16,chemical
RMGL , RMDVL         ,15,chemical
RMGL , RMHL          ,1,chemical
RMGL , RMHR          ,4,chemical
RMGL , RIVR          ,1,chemical
RMGL , SAADL         ,1,chemical
RMGL , SIADL         ,2,chemical
RMGL , SIADR         ,2,chemical
RMGL , SIAVL         ,4,chemical
RMGL , SIBDL         ,5,chemical
RMGL , SIBVR         ,4,chemical
RMGL , SMBVL         ,2,chemical
RMGL , SMDDL         ,1,chemical
RMGL , SMDDR         ,2,chemical
RMGL , dBWML4        ,7,chemical
RMGL , dBWML5        ,1,chemical
RMGL , vBWML5        ,2,chemical
RMGR , ASHR          ,1,chemical
RMGR , IL2DR         ,1,chemical
RMGR , IL2R          ,2,chemical
RMGR , OLLR          ,1,chemical
RMGR , ALMR          ,1,chemical
RMGR , ALNR          ,4,chemical
RMGR , URXR          ,3,chemical
RMGR , ADER          ,2,chemical
RMGR , ADAR          ,2,chemical
RMGR , AIMR          ,2,chemical
RMGR , RIGR          ,2,chemical
RMGR , RIR           ,1,chemical
RMGR , AVJL          ,4,chemical
RMGR , AVAL          ,1,chemical
RMGR , AVBL          ,2,chemical
RMGR , AVBR          ,3,chemical
RMGR , AVDL          ,2,chemical
RMGR , AVER          ,6,chemical
RMGR , RMDDL         ,1,chemical
RMGR , RMDL          ,20,chemical
RMGR , RMDR          ,7,chemical
RMGR , RMDVR         ,23,chemical
RMGR , SAADL         ,3,chemical
RMGR , SIADL         ,1,chemical
RMGR , SIAVR         ,2,chemical
RMGR , SIBVL         ,2,chemical
RMGR , SMBVR         ,1,chemical
RMGR , dBWMR5        ,3,chemical
RMGR , vBWMR8        ,2,chemical
URBL , IL1L          ,10,chemical
URBL , OLLL          ,1,chemical
URBL , CEPDL         ,2,chemical
URBL , URXL          ,26,chemical
URBL , URYDL         ,1,chemical
URBL , ADAL          ,3,chemical
URBL , RICL          ,1,chemical
URBL , RICR          ,1,chemical
URBL , URBL          ,1,chemical
URBL , PVR           ,1,chemical
URBL , AVBL          ,1,chemical
URBL , RMDDR         ,2,chemical
URBL , RMHR          ,5,chemical
URBL , SIADR         ,2,chemical
URBL , SIAVL         ,2,chemical
URBL , SIBVL         ,1,chemical
URBL , SMBDR         ,3,chemical
URBL , SMBVL         ,1,chemical
URBR , ADLR          ,2,chemical
URBR , IL1DR         ,2,chemical
URBR , IL1R          ,5,chemical
URBR , IL2R          ,3,chemical
URBR , OLQDR         ,2,chemical
URBR , OLLR          ,1,chemical
URBR , CEPDR         ,1,chemical
URBR , CEPVR         ,4,chemical
URBR , URXR          ,16,chemical
URBR , ADER          ,1,chemical
URBR , ADAR          ,5,chemical
URBR , RICL          ,1,chemical
URBR , RICR          ,1,chemical
URBR , RMGR          ,8,chemical
URBR , AVBR          ,1,chemical
URBR , AVDL          ,1,chemical
URBR , RMDL          ,1,chemical
URBR , RMDR          ,1,chemical
URBR , SIADL         ,3,chemical
URBR , SIAVR         ,3,chemical
URBR , SIBDR         ,2,chemical
URBR , SIBVR         ,2,chemical
URBR , SMBDL         ,4,chemical
URBR , SMBVR         ,1,chemical
RIPL , OLQDR         ,2,chemical
RIPL , OLQVL         ,1,chemical
RIPL , RIH           ,2,chemical
RIPL , RIPL          ,2,chemical
RIPR , OLQDR         ,3,chemical
RIPR , OLQVR         ,2,chemical
RIPR , RIH           ,1,chemical
RIPR , AVBR          ,2,chemical
RIPR , URAVR         ,1,chemical
AVFL , AIML          ,1,chemical
AVFL , RIFL          ,1,chemical
AVFL , RIFR          ,1,chemical
AVFL , AVFR          ,12,chemical
AVFL , AVG           ,5,chemical
AVFL , AVHL          ,4,chemical
AVFL , AVHR          ,1,chemical
AVFL , AVJL          ,2,chemical
AVFL , AVL           ,5,chemical
AVFL , DVB           ,1,chemical
AVFL , PVNL          ,1,chemical
AVFL , PVQL          ,1,chemical
AVFL , AVBL          ,4,chemical
AVFL , AVBR          ,1,chemical
AVFL , SMBVL         ,1,chemical
AVFL , AS10          ,1,chemical
AVFL , VB01          ,2,chemical
AVFL , VB02          ,2,chemical
AVFL , vBWML10       ,1,chemical
AVFL , vBWML11       ,1,chemical
AVFL , vBWML13       ,1,chemical
AVFL , hyp           ,1,chemical
AVFL , intestine     ,1,chemical
AVFL , HSNL          ,2,chemical
AVFL , HSNR          ,3,chemical
AVFL , VC01          ,1,chemical
AVFR , ASHR          ,1,chemical
AVFR , PVDL          ,1,chemical
AVFR , AIAL          ,1,chemical
AVFR , AIML          ,1,chemical
AVFR , RMGL          ,1,chemical
AVFR , AVFL          ,7,chemical
AVFR , AVG           ,1,chemical
AVFR , AVHL          ,3,chemical
AVFR , AVHR          ,3,chemical
AVFR , AVJL          ,5,chemical
AVFR , PVPR          ,1,chemical
AVFR , PVQL          ,2,chemical
AVFR , PVCR          ,1,chemical
AVFR , AVAL          ,1,chemical
AVFR , AVBL          ,6,chemical
AVFR , AVBR          ,6,chemical
AVFR , RMDDL         ,1,chemical
AVFR , VA02          ,1,chemical
AVFR , vBWML11       ,1,chemical
AVFR , vBWML12       ,1,chemical
AVFR , vBWMR10       ,1,chemical
AVFR , vBWMR14       ,2,chemical
AVFR , hyp           ,1,chemical
AVFR , HSNL          ,4,chemical
AVFR , HSNR          ,3,chemical
AVG , PHAL          ,3,chemical
AVG , AVFL          ,3,chemical
AVG , AVG           ,2,chemical
AVG , AVJL          ,7,chemical
AVG , AVJR          ,3,chemical
AVG , DVC           ,2,chemical
AVG , PVNL          ,2,chemical
AVG , PVNR          ,4,chemical
AVG , PVQR          ,2,chemical
AVG , PVT           ,2,chemical
AVG , PVCL          ,1,chemical
AVG , PVCR          ,2,chemical
AVG , AVAL          ,3,chemical
AVG , AVAR          ,3,chemical
AVG , AVBL          ,5,chemical
AVG , AVBR          ,3,chemical
AVG , AVDL          ,1,chemical
AVG , AVDR          ,3,chemical
AVG , AVER          ,1,chemical
AVG , DA08          ,1,chemical
AVG , VA06          ,1,chemical
AVG , VA11          ,1,chemical
AVG , vBWML10       ,1,chemical
AVG , vBWML11       ,2,chemical
AVG , vBWML16       ,2,chemical
AVG , VC01          ,2,chemical
AVHL , ADFR          ,5,chemical
AVHL , ASHR          ,1,chemical
AVHL , AWBR          ,3,chemical
AVHL , BDUR          ,1,chemical
AVHL , RIFR          ,1,chemical
AVHL , RIR           ,2,chemical
AVHL , AVFL          ,1,chemical
AVHL , AVFR          ,5,chemical
AVHL , AVHR          ,1,chemical
AVHL , AVJL          ,4,chemical
AVHL , AVJR          ,1,chemical
AVHL , PVPR          ,2,chemical
AVHL , PVQR          ,3,chemical
AVHL , AVAR          ,1,chemical
AVHL , AVBL          ,2,chemical
AVHL , AVBR          ,1,chemical
AVHL , AVDL          ,1,chemical
AVHL , RIMR          ,1,chemical
AVHL , SABD          ,1,chemical
AVHL , SMBDR         ,4,chemical
AVHL , SMBVR         ,4,chemical
AVHL , DD01          ,1,chemical
AVHL , VD01          ,1,chemical
AVHR , ADLR          ,3,chemical
AVHR , ASKR          ,1,chemical
AVHR , AWBL          ,1,chemical
AVHR , AQR           ,1,chemical
AVHR , RIGL          ,1,chemical
AVHR , RIR           ,8,chemical
AVHR , AVFL          ,2,chemical
AVHR , AVFR          ,2,chemical
AVHR , AVHL          ,1,chemical
AVHR , AVJR          ,5,chemical
AVHR , DVA           ,1,chemical
AVHR , PVPL          ,9,chemical
AVHR , AVAL          ,1,chemical
AVHR , AVBL          ,3,chemical
AVHR , AVBR          ,1,chemical
AVHR , AVDR          ,1,chemical
AVHR , SMBDL         ,3,chemical
AVHR , SMBVL         ,1,chemical
AVHR , vBWMR9        ,1,chemical
AVJL , ASHR          ,1,chemical
AVJL , AINL          ,1,chemical
AVJL , RIFR          ,1,chemical
AVJL , RIS           ,1,chemical
AVJL , AVHL          ,3,chemical
AVJL , AVJR          ,1,chemical
AVJL , PVNR          ,4,chemical
AVJL , PVCL          ,5,chemical
AVJL , PVCR          ,1,chemical
AVJL , AVAR          ,1,chemical
AVJL , AVBL          ,5,chemical
AVJL , AVBR          ,6,chemical
AVJL , AVDL          ,1,chemical
AVJL , AVEL          ,1,chemical
AVJL , SABD          ,1,chemical
AVJR , ALML          ,3,chemical
AVJR , AVM           ,1,chemical
AVJR , FLPR          ,2,chemical
AVJR , AVJL          ,1,chemical
AVJR , RID           ,2,chemical
AVJR , PVCL          ,5,chemical
AVJR , PVCR          ,7,chemical
AVJR , AVAL          ,4,chemical
AVJR , AVAR          ,5,chemical
AVJR , AVBL          ,10,chemical
AVJR , AVBR          ,2,chemical
AVJR , AVDL          ,1,chemical
AVJR , AVDR          ,7,chemical
AVJR , AVER          ,3,chemical
AVJR , SABVL         ,3,chemical
AVKL , AVM           ,2,chemical
AVKL , RMFL          ,2,chemical
AVKL , DVA           ,1,chemical
AVKL , AVBL          ,2,chemical
AVKL , AVEL          ,4,chemical
AVKL , AVER          ,2,chemical
AVKL , RIML          ,3,chemical
AVKL , RIMR          ,2,chemical
AVKL , RMDL          ,1,chemical
AVKL , RIVL          ,5,chemical
AVKL , SAADL         ,1,chemical
AVKL , SAADR         ,3,chemical
AVKL , SAAVL         ,3,chemical
AVKL , SIAVR         ,2,chemical
AVKL , SIBVR         ,2,chemical
AVKL , vBWML11       ,3,chemical
AVKL , vBWMR6        ,2,chemical
AVKR , BDUL          ,3,chemical
AVKR , RIGL          ,1,chemical
AVKR , RMFL          ,2,chemical
AVKR , RMGL          ,2,chemical
AVKR , AVKL          ,3,chemical
AVKR , PVPL          ,1,chemical
AVKR , PVQL          ,1,chemical
AVKR , RIML          ,5,chemical
AVKR , RIMR          ,3,chemical
AVKR , RMDL          ,1,chemical
AVKR , RMDR          ,2,chemical
AVKR , RMHR          ,1,chemical
AVKR , SAADL         ,2,chemical
AVKR , SIADL         ,3,chemical
AVKR , SMBDL         ,3,chemical
AVKR , SMDDR         ,3,chemical
AVKR , SMDVR         ,1,chemical
AVKR , vBWML9        ,2,chemical
AVKR , vBWML11       ,1,chemical
AVKR , hyp           ,2,chemical
AVL , RIS           ,1,chemical
AVL , AVKR          ,2,chemical
AVL , DVB           ,1,chemical
AVL , DVC           ,2,chemical
AVL , PVPR          ,2,chemical
AVL , PVWL          ,1,chemical
AVL , AVEL          ,3,chemical
AVL , RIMR          ,2,chemical
AVL , SABD          ,9,chemical
AVL , SABVL         ,9,chemical
AVL , SABVR         ,6,chemical
AVL , DD01          ,4,chemical
AVL , DD06          ,1,chemical
AVL , VD12          ,3,chemical
AVL , vBWML10       ,5,chemical
AVL , vBWML11       ,4,chemical
AVL , vBWML12       ,1,chemical
AVL , vBWML15       ,1,chemical
AVL , vBWMR8        ,4,chemical
AVL , intestine     ,1,chemical
AVL , HSNR          ,2,chemical
AVL , VC01          ,2,chemical
AVL , VC02          ,2,chemical
AVL , VC06          ,1,chemical
DVA , URXL          ,1,chemical
DVA , URYDL         ,3,chemical
DVA , AQR           ,6,chemical
DVA , AUAL          ,4,chemical
DVA , AUAR          ,8,chemical
DVA , PDER          ,1,chemical
DVA , AIZL          ,5,chemical
DVA , AIZR          ,3,chemical
DVA , RIAL          ,3,chemical
DVA , RIAR          ,4,chemical
DVA , RIR           ,4,chemical
DVA , PVPR          ,3,chemical
DVA , PVR           ,2,chemical
DVA , PVCL          ,4,chemical
DVA , PVCR          ,1,chemical
DVA , AVAL          ,6,chemical
DVA , AVAR          ,2,chemical
DVA , AVBL          ,1,chemical
DVA , AVBR          ,1,chemical
DVA , AVDR          ,2,chemical
DVA , AVEL          ,19,chemical
DVA , AVER          ,17,chemical
DVA , RIMR          ,5,chemical
DVA , SAADR         ,5,chemical
DVA , SAAVL         ,3,chemical
DVA , SAAVR         ,1,chemical
DVA , SABD          ,2,chemical
DVA , SMBDL         ,6,chemical
DVA , SMBDR         ,6,chemical
DVA , SMBVL         ,5,chemical
DVA , SMBVR         ,6,chemical
DVA , SMDVL         ,1,chemical
DVA , DA02          ,1,chemical
DVA , DB02          ,2,chemical
DVA , DB03          ,3,chemical
DVA , DB04          ,1,chemical
DVA , DB07          ,1,chemical
DVA , VA02          ,2,chemical
DVA , VA06          ,1,chemical
DVA , VA08          ,1,chemical
DVA , VA12          ,1,chemical
DVA , VB01          ,1,chemical
DVA , VB11          ,2,chemical
DVA , hyp           ,1,chemical
DVB , PHCL          ,2,chemical
DVB , AVL           ,21,chemical
DVB , DVC           ,5,chemical
DVB , PVPL          ,10,chemical
DVB , DA08          ,10,chemical
DVB , PDA           ,2,chemical
DVB , DD06          ,10,chemical
DVB , VD13          ,1,chemical
DVB , hyp           ,12,chemical
DVB , intestine     ,9,chemical
DVB , intL          ,3,chemical
DVC , PVDR          ,1,chemical
DVC , AIBL          ,3,chemical
DVC , AIBR          ,3,chemical
DVC , RIBL          ,2,chemical
DVC , RIBR          ,6,chemical
DVC , RIGL          ,16,chemical
DVC , RIGR          ,13,chemical
DVC , RMFL          ,14,chemical
DVC , RMFR          ,9,chemical
DVC , AVKL          ,2,chemical
DVC , PVPL          ,4,chemical
DVC , PVT           ,1,chemical
DVC , AVAL          ,14,chemical
DVC , AVAR          ,16,chemical
DVC , AVBL          ,1,chemical
DVC , RIVR          ,2,chemical
DVC , URAVL         ,1,chemical
DVC , VD09          ,2,chemical
DVC , vBWMR20       ,2,chemical
PVNL , BDUL          ,5,chemical
PVNL , BDUR          ,2,chemical
PVNL , PVDL          ,1,chemical
PVNL , PQR           ,5,chemical
PVNL , AVG           ,2,chemical
PVNL , AVJL          ,6,chemical
PVNL , AVJR          ,8,chemical
PVNL , AVL           ,1,chemical
PVNL , PVNR          ,9,chemical
PVNL , PVPR          ,1,chemical
PVNL , PVT           ,6,chemical
PVNL , PVWL          ,4,chemical
PVNL , PVWR          ,1,chemical
PVNL , PVCL          ,5,chemical
PVNL , AVAL          ,6,chemical
PVNL , AVBR          ,2,chemical
PVNL , AVDL          ,7,chemical
PVNL , AVDR          ,6,chemical
PVNL , LUAL          ,3,chemical
PVNL , DD01          ,5,chemical
PVNL , VA12          ,1,chemical
PVNL , VD12          ,1,chemical
PVNL , vBWML11       ,5,chemical
PVNL , hyp           ,3,chemical
PVNR , CEPDL         ,2,chemical
PVNR , ALML          ,2,chemical
PVNR , BDUL          ,1,chemical
PVNR , PVDR          ,5,chemical
PVNR , URXL          ,2,chemical
PVNR , PQR           ,4,chemical
PVNR , URBL          ,2,chemical
PVNR , AVJL          ,1,chemical
PVNR , AVJR          ,1,chemical
PVNR , AVL           ,3,chemical
PVNR , PVNR          ,1,chemical
PVNR , PVR           ,1,chemical
PVNR , PVT           ,3,chemical
PVNR , PVWL          ,9,chemical
PVNR , PVWR          ,2,chemical
PVNR , PVCR          ,2,chemical
PVNR , AVAL          ,5,chemical
PVNR , AVBR          ,1,chemical
PVNR , AVDL          ,1,chemical
PVNR , AVDR          ,2,chemical
PVNR , AVEL          ,5,chemical
PVNR , DB03          ,1,chemical
PVNR , DD02          ,1,chemical
PVNR , VA06          ,1,chemical
PVNR , VA11          ,1,chemical
PVNR , VD03          ,3,chemical
PVNR , VD04          ,6,chemical
PVNR , VD06          ,1,chemical
PVNR , VD07          ,1,chemical
PVNR , VD13          ,2,chemical
PVNR , hyp           ,9,chemical
PVNR , HSNR          ,1,chemical
PVNR , VC02          ,1,chemical
PVPL , PVDL          ,1,chemical
PVPL , AQR           ,8,chemical
PVPL , ADAL          ,1,chemical
PVPL , RIGL          ,3,chemical
PVPL , RIR           ,1,chemical
PVPL , AVHR          ,3,chemical
PVPL , PVCL          ,3,chemical
PVPL , PVCR          ,9,chemical
PVPL , AVAL          ,4,chemical
PVPL , AVAR          ,3,chemical
PVPL , AVBL          ,13,chemical
PVPL , AVBR          ,12,chemical
PVPL , AVDR          ,3,chemical
PVPL , vBWML10       ,2,chemical
PVPR , ADFR          ,2,chemical
PVPR , ASHR          ,2,chemical
PVPR , URXR          ,1,chemical
PVPR , AQR           ,5,chemical
PVPR , RIAR          ,2,chemical
PVPR , RIGR          ,2,chemical
PVPR , AVG           ,1,chemical
PVPR , AVHL          ,3,chemical
PVPR , AVJL          ,2,chemical
PVPR , AVL           ,4,chemical
PVPR , DVC           ,3,chemical
PVPR , PVQR          ,1,chemical
PVPR , PVCL          ,6,chemical
PVPR , PVCR          ,13,chemical
PVPR , AVAL          ,1,chemical
PVPR , AVAR          ,5,chemical
PVPR , AVBL          ,8,chemical
PVPR , AVBR          ,11,chemical
PVPR , DD02          ,1,chemical
PVPR , vBWMR10       ,1,chemical
PVPR , vBWMR11       ,1,chemical
PVPR , HSNR          ,2,chemical
PVQL , ASJL          ,3,chemical
PVQL , ASKL          ,12,chemical
PVQL , AWAL          ,1,chemical
PVQL , AIAL          ,10,chemical
PVQL , RMGL          ,1,chemical
PVQL , AVHR          ,1,chemical
PVQL , PVPL          ,1,chemical
PVQL , DA08          ,1,chemical
PVQL , DD06          ,1,chemical
PVQL , vBWMR10       ,1,chemical
PVQL , HSNL          ,3,chemical
PVQL , HSNR          ,6,chemical
PVQR , ASER          ,2,chemical
PVQR , ASJL          ,1,chemical
PVQR , ASKR          ,6,chemical
PVQR , AWAR          ,4,chemical
PVQR , AIAL          ,1,chemical
PVQR , AIAR          ,12,chemical
PVQR , AIMR          ,2,chemical
PVQR , RIFR          ,4,chemical
PVQR , RMGR          ,1,chemical
PVQR , AVFR          ,1,chemical
PVQR , AVL           ,2,chemical
PVQR , AVBR          ,1,chemical
PVQR , DD01          ,1,chemical
PVQR , DD06          ,2,chemical
PVQR , VD01          ,1,chemical
PVQR , VC02          ,1,chemical
PVR , IL1DR         ,5,chemical
PVR , IL1VL         ,9,chemical
PVR , IL1VR         ,9,chemical
PVR , CEPVR         ,2,chemical
PVR , ALMR          ,2,chemical
PVR , PVM           ,1,chemical
PVR , SDQR          ,5,chemical
PVR , ADAR          ,1,chemical
PVR , RIPL          ,16,chemical
PVR , RIPR          ,19,chemical
PVR , AVJL          ,11,chemical
PVR , AVJR          ,5,chemical
PVR , AVKL          ,1,chemical
PVR , DVA           ,2,chemical
PVR , PVR           ,1,chemical
PVR , PVCL          ,4,chemical
PVR , AVBL          ,17,chemical
PVR , AVBR          ,17,chemical
PVR , URADL         ,3,chemical
PVR , SABD          ,2,chemical
PVR , DA05          ,1,chemical
PVR , DA09          ,2,chemical
PVR , DB02          ,2,chemical
PVR , DB03          ,3,chemical
PVR , DB04          ,1,chemical
PVR , DB07          ,2,chemical
PVR , VB03          ,2,chemical
PVR , vBWMR11       ,1,chemical
PVT , AIBL          ,5,chemical
PVT , AIBR          ,10,chemical
PVT , RIGL          ,1,chemical
PVT , RIGR          ,6,chemical
PVT , RMFL          ,3,chemical
PVT , RMFR          ,7,chemical
PVT , RIH           ,2,chemical
PVT , RIS           ,1,chemical
PVT , AVKL          ,7,chemical
PVT , AVKR          ,8,chemical
PVT , AVL           ,3,chemical
PVT , DVC           ,3,chemical
PVT , RMEV          ,4,chemical
PVWL , PVT           ,1,chemical
PVWL , PVWR          ,1,chemical
PVWL , PVCL          ,1,chemical
PVWL , PVCR          ,1,chemical
PVWL , VD12          ,1,chemical
PVWR , AVAR          ,1,chemical
PVWR , AVDR          ,2,chemical
PVWR , LUAR          ,1,chemical
PVWR , VA12          ,1,chemical
RID , FLPL          ,1,chemical
RID , RMED          ,5,chemical
RID , DA02          ,1,chemical
RID , DA06          ,2,chemical
RID , DB01          ,1,chemical
RID , DD01          ,3,chemical
RID , DD02          ,2,chemical
RID , VD05          ,1,chemical
RID , dBWML13       ,1,chemical
RID , dBWML14       ,1,chemical
RID , dBWMR10       ,1,chemical
PVCL , ADLR          ,2,chemical
PVCL , ASHR          ,2,chemical
PVCL , PDER          ,1,chemical
PVCL , RIS           ,2,chemical
PVCL , AVG           ,2,chemical
PVCL , AVJL          ,3,chemical
PVCL , AVJR          ,2,chemical
PVCL , DVA           ,4,chemical
PVCL , RID           ,12,chemical
PVCL , PVCL          ,1,chemical
PVCL , PVCR          ,10,chemical
PVCL , AVAL          ,5,chemical
PVCL , AVAR          ,7,chemical
PVCL , AVBL          ,7,chemical
PVCL , AVBR          ,27,chemical
PVCL , AVDL          ,7,chemical
PVCL , AVDR          ,11,chemical
PVCL , AVEL          ,2,chemical
PVCL , AVER          ,7,chemical
PVCL , SIBVL         ,7,chemical
PVCL , SMBVR         ,3,chemical
PVCL , DA05          ,1,chemical
PVCL , DA08          ,2,chemical
PVCL , DB02          ,4,chemical
PVCL , DB03          ,2,chemical
PVCL , DB04          ,6,chemical
PVCL , DB07          ,5,chemical
PVCL , AS01          ,1,chemical
PVCL , AS02          ,1,chemical
PVCL , VA11          ,1,chemical
PVCL , VB04          ,3,chemical
PVCL , VB06          ,2,chemical
PVCL , VB11          ,1,chemical
PVCR , FLPL          ,2,chemical
PVCR , PVDL          ,2,chemical
PVCR , PVDR          ,1,chemical
PVCR , AQR           ,2,chemical
PVCR , PDER          ,1,chemical
PVCR , AVHL          ,1,chemical
PVCR , AVL           ,1,chemical
PVCR , DVA           ,3,chemical
PVCR , PVPR          ,1,chemical
PVCR , PVR           ,1,chemical
